record_id,ifsc,account_number,bank_name,holder_name,holder_type,opened_on
KYC-0001,ZGDV0281209,997066433929,Godavari Bank,Daksh Bakshi,person,2019-12-30T13:58:00+05:30
KYC-0002,ZARV0617958,49173696680314,Aravali Bank,Laksh Konda,person,2019-09-24T13:53:00+05:30
KYC-0003,ZKVR0546415,36465882156067,Kaveri Bank,Dalaja Chahal,person,2013-03-21T16:59:00+05:30
KYC-0004,ZNMD0484562,198354875355,Narmada Bank,Udyati Balay,person,2018-10-23T11:24:00+05:30
KYC-0005,ZKVR0138643,6435835492797107,Kaveri Bank,Hardik Saini,person,2014-07-13T14:08:00+05:30
KYC-0006,ZGDV0489435,4267221805213723,Godavari Bank,Imaran Sen,person,2021-08-07T17:08:00+05:30
KYC-0007,ZKVR0982026,84187635538,Kaveri Bank,Liam Ahuja,person,2019-02-11T14:52:00+05:30
KYC-0008,ZNMD0324711,20354713714,Narmada Bank,Onkar Mall,person,2019-08-21T13:29:00+05:30
KYC-0009,ZNMD0532558,22645406307458,Narmada Bank,Faras Kale,person,2014-11-14T13:11:00+05:30
KYC-0010,ZGDV0105287,3660851609801178,Godavari Bank,Chakradhar Rai,person,2016-05-19T15:20:00+05:30
KYC-0011,ZGDV0117620,40739235064,Godavari Bank,Chasmum Parmer,person,2021-05-21T10:41:00+05:30
KYC-0012,ZARV0094460,24117828051503,Aravali Bank,David Radhakrishnan,person,2020-03-13T13:57:00+05:30
KYC-0013,ZKVR0853805,42349026862,Kaveri Bank,Balveer Memon,person,2015-12-17T14:07:00+05:30
KYC-0014,ZGDV0722792,76055036575658,Godavari Bank,Pratyush Handa,person,2016-04-05T15:40:00+05:30
KYC-0015,ZGDV0543292,3337619347987285,Godavari Bank,Bakhshi Bath,person,2012-10-27T13:49:00+05:30
KYC-0016,ZARV0556607,8182324692435618,Aravali Bank,Ishaan Mann,person,2022-10-26T10:36:00+05:30
KYC-0017,ZKVR0189294,281714034673,Kaveri Bank,Balveer Kaul,person,2023-03-01T13:35:00+05:30
KYC-0018,ZARV0090477,4459654850131962,Aravali Bank,Chandresh Rai,person,2017-12-14T13:05:00+05:30
KYC-0019,ZARV0745844,778088674514,Aravali Bank,Liam Setty,person,2019-03-31T13:14:00+05:30
KYC-0020,ZNMD0853761,95412555046339,Narmada Bank,Rajata Gaba,person,2023-04-16T13:09:00+05:30
KYC-0021,ZARV0150108,10564200188213,Aravali Bank,Reva Pant,person,2021-07-07T16:58:00+05:30
