record_id,msisdn,subscriber_name,city,activation_date
SUB-0001,6375107792,Daksh Bakshi,Mumbai,2017-02-28T21:00:00+05:30
SUB-0002,8771974035,Daksh Bakshi,Mumbai,2024-02-19T00:00:00+05:30
SUB-0003,6309630372,Laksh Konda,Mumbai,2024-03-01T15:00:00+05:30
SUB-0004,9600233059,Rahul Sharma,Mumbai,2018-12-30T12:00:00+05:30
SUB-0005,9896703780,Isaac Dewan,Mumbai,2021-07-01T15:00:00+05:30
SUB-0006,6997171985,Dalaja Chahal,Mumbai,2021-03-28T23:00:00+05:30
SUB-0007,9384822654,Udyati Balay,Mumbai,2018-10-15T00:00:00+05:30
SUB-0008,6637885677,Hardik Saini,Pune,2024-01-04T15:00:00+05:30
SUB-0009,6665802686,Imaran Sen,Pune,2018-04-11T14:00:00+05:30
SUB-0010,8437653138,Liam Ahuja,Pune,2019-12-02T22:00:00+05:30
SUB-0011,6787800822,Fariq Sami,Pune,2023-09-07T00:00:00+05:30
SUB-0012,8600238302,Onkar Mall,Pune,2018-09-06T21:00:00+05:30
SUB-0013,6217338638,Faras Kale,Pune,2017-12-23T12:00:00+05:30
SUB-0014,7485979569,Om Chaudry,Pune,2020-01-16T18:00:00+05:30
SUB-0015,7447202903,Chakradhar Rai,Pune,2022-08-11T20:00:00+05:30
SUB-0016,6435668733,Chasmum Parmer,Pune,2024-04-05T00:00:00+05:30
SUB-0017,8829009322,David Radhakrishnan,Hyderabad,2021-08-29T17:00:00+05:30
SUB-0018,9415717273,Balveer Memon,Hyderabad,2017-12-28T21:00:00+05:30
SUB-0019,7679658289,Pratyush Handa,Hyderabad,2017-11-08T17:00:00+05:30
SUB-0020,8224632063,Bakhshi Bath,Hyderabad,2024-09-16T17:00:00+05:30
SUB-0021,6876538782,Ishaan Mann,Hyderabad,2017-01-04T12:00:00+05:30
SUB-0022,8524624102,Balveer Kaul,Hyderabad,2022-09-06T19:00:00+05:30
SUB-0023,8238710435,Chandresh Rai,Hyderabad,2022-05-25T16:00:00+05:30
SUB-0024,6694321946,Liam Setty,Hyderabad,2020-01-13T12:00:00+05:30
SUB-0025,7500083076,Rajata Gaba,Hyderabad,2017-07-09T17:00:00+05:30
SUB-0026,8525720621,Reva Pant,Hyderabad,2024-02-13T18:00:00+05:30
SUB-0027,6852224261,Finn Shere,Delhi,2018-08-14T15:00:00+05:30
SUB-0028,6424188799,Ranveer Madan,Delhi,2021-09-14T20:00:00+05:30
SUB-0029,9797302867,Imaran Nair,Delhi,2018-05-20T00:00:00+05:30
SUB-0030,6518301062,Ayaan Karnik,Delhi,2019-01-28T00:00:00+05:30
SUB-0031,6935101816,Amol Mutti,Delhi,2024-11-23T19:00:00+05:30
SUB-0032,6931872820,Sai Loyal,Delhi,2019-12-26T00:00:00+05:30
SUB-0033,6367453616,Bhavini Kakar,Delhi,2018-10-28T21:00:00+05:30
SUB-0034,7970653224,Ekaraj Koshy,Pune,2023-08-04T23:00:00+05:30
SUB-0035,6729640279,Karan Sangha,Hyderabad,2024-06-27T00:00:00+05:30
SUB-0036,9688936655,Sudiksha Pathak,Mumbai,2017-02-14T17:00:00+05:30
SUB-0037,6849321768,Januja Devi,Mumbai,2019-12-22T16:00:00+05:30
SUB-0038,6691567852,Yatin Chand,Mumbai,2021-04-28T21:00:00+05:30
SUB-0039,9571619646,Arunima Choudhary,Mumbai,2021-01-16T18:00:00+05:30
SUB-0040,6561718843,Ganga Dutta,Mumbai,2020-11-04T22:00:00+05:30
SUB-0041,6555122302,Siddharth Bhatt,Mumbai,2024-03-25T23:00:00+05:30
SUB-0042,6912523398,Sanya Raj,Mumbai,2021-11-18T16:00:00+05:30
SUB-0043,7730176490,Vivaan Wadhwa,Mumbai,2017-09-26T00:00:00+05:30
SUB-0044,6960990031,Ladli Apte,Mumbai,2019-11-19T14:00:00+05:30
SUB-0045,6888840554,Dakshesh Yadav,Mumbai,2018-01-05T19:00:00+05:30
SUB-0046,6987256607,Lila Oak,Mumbai,2020-10-08T00:00:00+05:30
SUB-0047,6702951376,Dayita Memon,Mumbai,2021-09-27T16:00:00+05:30
SUB-0048,6641395672,Urishilla Dugar,Mumbai,2016-11-21T00:00:00+05:30
SUB-0049,7288961107,Vasana Aggarwal,Mumbai,2020-04-23T12:00:00+05:30
SUB-0050,7876457943,Karan Tella,Mumbai,2022-06-21T18:00:00+05:30
SUB-0051,9647323963,Hemal Tripathi,Mumbai,2023-01-25T14:00:00+05:30
SUB-0052,7147613772,Damyanti Misra,Mumbai,2021-02-20T15:00:00+05:30
SUB-0053,7844273643,Yashica Issac,Mumbai,2023-02-06T13:00:00+05:30
SUB-0054,6540081641,Ganga Prakash,Mumbai,2020-07-11T22:00:00+05:30
SUB-0055,6275552433,Gaurika Zacharia,Mumbai,2023-11-27T22:00:00+05:30
SUB-0056,7989228447,Zilmil Acharya,Mumbai,2023-10-31T16:00:00+05:30
SUB-0057,6300516718,Neel Suresh,Mumbai,2020-06-12T15:00:00+05:30
SUB-0058,8184188031,Adya Choudhury,Mumbai,2019-05-09T20:00:00+05:30
SUB-0059,9153442407,Radhika Mohanty,Mumbai,2023-05-03T19:00:00+05:30
SUB-0060,8547024696,Pallavi Bail,Pune,2017-09-18T00:00:00+05:30
SUB-0061,8680810632,Jyoti Kannan,Pune,2019-02-23T00:00:00+05:30
SUB-0062,8452335165,Aarush Bobal,Pune,2022-09-06T13:00:00+05:30
SUB-0063,7837617691,Ayushman Karnik,Pune,2024-08-03T14:00:00+05:30
SUB-0064,9690393547,Bahadurjit Balay,Pune,2021-11-02T17:00:00+05:30
SUB-0065,7353300525,Oni Bobal,Pune,2018-08-20T23:00:00+05:30
SUB-0066,7814266084,Yasti Khanna,Pune,2020-12-27T23:00:00+05:30
SUB-0067,9994738491,Liam Sunder,Pune,2021-07-07T00:00:00+05:30
SUB-0068,6543832315,Jalsa Zacharia,Pune,2016-11-20T00:00:00+05:30
SUB-0069,6812873288,Dominic Solanki,Pune,2023-08-23T23:00:00+05:30
SUB-0070,9847874879,Jairaj Solanki,Pune,2024-10-07T23:00:00+05:30
SUB-0071,7556372626,Samar Gupta,Pune,2018-02-04T13:00:00+05:30
SUB-0072,7545969696,Champak Chatterjee,Pune,2023-12-12T16:00:00+05:30
SUB-0073,8851286499,Upasna Pandya,Pune,2017-05-03T17:00:00+05:30
SUB-0074,7311481954,Udyati Roy,Pune,2023-12-04T18:00:00+05:30
SUB-0075,8517802039,Vinaya Bhagat,Pune,2018-04-12T22:00:00+05:30
SUB-0076,9119219019,Chavvi Bhat,Pune,2020-07-11T13:00:00+05:30
SUB-0077,6653793670,Saksham Nori,Pune,2018-05-13T13:00:00+05:30
SUB-0078,6325845808,Chatura Kothari,Pune,2021-10-27T15:00:00+05:30
SUB-0079,7260443015,Gopal Gupta,Pune,2020-04-21T00:00:00+05:30
SUB-0080,7388520357,Udyati Sur,Hyderabad,2023-02-24T13:00:00+05:30
SUB-0081,7952549560,Faras Gupta,Hyderabad,2019-09-10T13:00:00+05:30
SUB-0082,8766270784,Manbir Kalla,Hyderabad,2024-01-31T12:00:00+05:30
SUB-0083,9747267016,Barkha Bhat,Hyderabad,2023-07-16T22:00:00+05:30
SUB-0084,6051518115,Naksh Bhandari,Hyderabad,2019-07-06T20:00:00+05:30
SUB-0085,6082251340,Aryan Sood,Hyderabad,2018-06-21T19:00:00+05:30
SUB-0086,9540149042,Zayan Wali,Hyderabad,2020-11-27T16:00:00+05:30
SUB-0087,7930732092,Farhan Bhandari,Hyderabad,2024-11-09T14:00:00+05:30
SUB-0088,9577944637,Banjeet Grewal,Hyderabad,2024-08-29T13:00:00+05:30
SUB-0089,6509638924,Bhavya Bir,Hyderabad,2020-03-28T21:00:00+05:30
SUB-0090,9179697814,Jacob Raval,Hyderabad,2024-10-19T17:00:00+05:30
SUB-0091,8510841654,Dipta Koshy,Hyderabad,2018-01-13T16:00:00+05:30
SUB-0092,6855008436,Anusha Bumb,Hyderabad,2018-06-25T16:00:00+05:30
SUB-0093,6026997648,Shaurya Virk,Hyderabad,2018-12-13T00:00:00+05:30
SUB-0094,8973120296,Nakul Lal,Hyderabad,2018-08-19T12:00:00+05:30
SUB-0095,9772591901,Ishani Murthy,Hyderabad,2021-11-17T17:00:00+05:30
SUB-0096,7630871663,Kashvi Lanka,Hyderabad,2017-03-13T12:00:00+05:30
SUB-0097,6017179896,Siya Deep,Hyderabad,2024-10-03T18:00:00+05:30
SUB-0098,9326047954,Netra Shankar,Hyderabad,2018-11-14T21:00:00+05:30
SUB-0099,8845716772,Nakul Bora,Hyderabad,2017-03-18T14:00:00+05:30
SUB-0100,7876587248,Rahul Sharma,Delhi,2024-03-28T19:00:00+05:30
