txn_id,from_ifsc,from_account,to_ifsc,to_account,amount_inr,mode,timestamp
TXN-000001,ZARV0117149,66524151229,ZARV0007961,649524061246,29000.00,NEFT,2025-01-01T09:03:00+05:30
TXN-000002,ZNMD0823935,9822007199094188,ZKVR0469965,4576041253223734,19500.00,NEFT,2025-01-01T09:07:00+05:30
TXN-000003,ZARV0477133,82150535453010,ZARV0094591,56243893730,54500.00,NEFT,2025-01-01T09:24:00+05:30
TXN-000004,ZARV0117149,66524151229,ZARV0519176,95519852701,22500.00,NEFT,2025-01-01T10:23:00+05:30
TXN-000005,ZARV0657336,88615120041,ZNMD0696084,6446483955427888,34000.00,NEFT,2025-01-01T11:18:00+05:30
TXN-000006,ZARV0477133,82150535453010,ZNMD0587919,365036192686,42000.00,NEFT,2025-01-01T12:03:00+05:30
TXN-000007,ZARV0477133,82150535453010,ZKVR0186058,346793746876,33000.00,NEFT,2025-01-01T12:27:00+05:30
TXN-000008,ZARV0477133,82150535453010,ZARV0086950,10465577896,41500.00,NEFT,2025-01-01T12:31:00+05:30
TXN-000009,ZNMD0324866,50984351846399,ZGDV0842838,6489677170416477,2650.00,IMPS,2025-01-01T19:21:00+05:30
TXN-000010,ZARV0519176,95519852701,ZGDV0264737,650442899703,820.00,UPI,2025-01-02T08:43:00+05:30
TXN-000011,ZNMD0152141,2950914371513095,ZARV0104756,56663037718416,54500.00,NEFT,2025-01-02T09:00:00+05:30
TXN-000012,ZKVR0606389,31265741521176,ZARV0519176,95519852701,33000.00,NEFT,2025-01-02T09:20:00+05:30
TXN-000013,ZKVR0617354,78564396525,ZNMD0544711,43197849240367,54000.00,NEFT,2025-01-02T09:25:00+05:30
TXN-000014,ZNMD0537065,63788388246,ZNMD0778339,65642075982039,28000.00,NEFT,2025-01-02T09:45:00+05:30
TXN-000015,ZARV0657336,88615120041,ZNMD0676603,445065079507,38000.00,NEFT,2025-01-02T09:47:00+05:30
TXN-000016,ZNMD0823935,9822007199094188,ZGDV0199050,13791179552,39000.00,NEFT,2025-01-02T10:02:00+05:30
TXN-000017,ZKVR0606389,31265741521176,ZARV0880251,3842947850229483,61500.00,NEFT,2025-01-02T10:29:00+05:30
TXN-000018,ZGDV0586089,1994021473530432,ZKVR0329204,4482253497910906,42500.00,NEFT,2025-01-02T10:44:00+05:30
TXN-000019,ZNMD0823935,9822007199094188,ZARV0779368,247347502388,35500.00,NEFT,2025-01-02T11:55:00+05:30
TXN-000020,ZNMD0537065,63788388246,ZKVR0098532,91924037155,25000.00,NEFT,2025-01-02T11:59:00+05:30
TXN-000021,ZGDV0891267,55801883709482,ZGDV0698481,214148069153,5710.00,IMPS,2025-01-02T12:23:00+05:30
TXN-000022,ZNMD0537065,63788388246,ZKVR0469965,4576041253223734,60000.00,NEFT,2025-01-02T12:52:00+05:30
TXN-000023,ZNMD0152141,2950914371513095,ZNMD0544711,43197849240367,26500.00,NEFT,2025-01-02T12:57:00+05:30
TXN-000024,ZGDV0711806,21409016372851,ZKVR0122101,1416049978764998,630.00,UPI,2025-01-02T13:24:00+05:30
TXN-000025,ZKVR0669376,4131711564511189,ZKVR0201615,135967096137,3070.00,UPI,2025-01-02T14:29:00+05:30
TXN-000026,ZARV0599465,26965979895120,ZKVR0231395,59372838131746,1050.00,IMPS,2025-01-02T19:32:00+05:30
TXN-000027,ZGDV0199050,13791179552,ZNMD0110114,5305601891569179,1230.00,UPI,2025-01-02T20:11:00+05:30
TXN-000028,ZGDV0524175,80468702410,ZKVR0546415,36465882156067,4000.00,UPI,2025-01-02T22:29:00+05:30
TXN-000029,ZGDV0891267,55801883709482,ZNMD0484562,198354875355,2900.00,IMPS,2025-01-02T23:21:00+05:30
TXN-000030,ZARV0979572,585873296710,ZNMD0484562,198354875355,5100.00,UPI,2025-01-02T23:51:00+05:30
TXN-000031,ZGDV0928130,906180924966,ZARV0919996,386172292609,50500.00,NEFT,2025-01-03T09:01:00+05:30
TXN-000032,ZNMD0823935,9822007199094188,ZGDV0711806,21409016372851,37000.00,NEFT,2025-01-03T09:46:00+05:30
TXN-000033,ZGDV0586089,1994021473530432,ZNMD0676603,445065079507,26500.00,NEFT,2025-01-03T10:03:00+05:30
TXN-000034,ZNMD0537065,63788388246,ZGDV0199050,13791179552,33500.00,NEFT,2025-01-03T10:36:00+05:30
TXN-000035,ZGDV0586089,1994021473530432,ZNMD0696084,6446483955427888,47000.00,NEFT,2025-01-03T10:44:00+05:30
TXN-000036,ZARV0657336,88615120041,ZKVR0329204,4482253497910906,21500.00,NEFT,2025-01-03T11:14:00+05:30
TXN-000037,ZKVR0606389,31265741521176,ZNMD0324866,50984351846399,58000.00,NEFT,2025-01-03T11:21:00+05:30
