record_id,registration_number,make_model,color,owner_name,owner_type,registered_on
VEH-0001,MH-03-X-0523,Maruti Suzuki Swift,white,Daksh Bakshi,person,2015-01-26T12:33:00+05:30
VEH-0002,MH-02-WJ-7359,Tata Nexon,white,Laksh Konda,person,2020-10-10T13:49:00+05:30
VEH-0003,MH-12-NS-1273,Maruti Suzuki Swift,red,Hardik Saini,person,2018-01-06T12:09:00+05:30
VEH-0004,MH-14-FR-3024,TVS Apache RTR 160,silver,Fariq Sami,person,2018-08-04T10:06:00+05:30
VEH-0005,MH-14-L-9646,Royal Enfield Classic 350,red,Onkar Mall,person,2020-09-06T16:18:00+05:30
VEH-0006,TS-10-KF-9919,Maruti Suzuki Ertiga,red,David Radhakrishnan,person,2017-10-20T12:20:00+05:30
VEH-0007,DL-4-CZU-2827,Maruti Suzuki Swift,maroon,Finn Shere,person,2019-05-05T11:31:00+05:30
VEH-0008,DL-4-CB-1155,Royal Enfield Classic 350,maroon,Imaran Nair,person,2016-08-07T10:31:00+05:30
VEH-0009,MH-14-LY-7909,Ashok Leyland Dost,black,Ekaraj Koshy,person,2015-03-10T10:44:00+05:30
VEH-0010,MH-01-UC-6272,Hyundai Creta,black,Sudiksha Pathak,person,2019-02-16T11:02:00+05:30
VEH-0011,MH-03-B-9452,Bajaj Pulsar 150,maroon,Ganga Dutta,person,2023-02-03T12:44:00+05:30
VEH-0012,MH-01-EH-4395,Mahindra Scorpio,blue,Ladli Apte,person,2016-04-12T17:12:00+05:30
VEH-0013,MH-02-S-3702,Tata Ace,grey,Dayita Memon,person,2015-10-18T15:23:00+05:30
VEH-0014,MH-02-K-9398,Bajaj Pulsar 150,silver,Vasana Aggarwal,person,2021-03-13T15:11:00+05:30
VEH-0015,MH-47-L-8257,Toyota Innova Crysta,white,Yashica Issac,person,2019-03-26T10:14:00+05:30
VEH-0016,MH-02-ZE-1098,Ashok Leyland Dost,silver,Gaurika Zacharia,person,2021-05-07T13:55:00+05:30
VEH-0017,MH-02-JN-2916,Hero Splendor Plus,red,Adya Choudhury,person,2019-08-15T14:38:00+05:30
VEH-0018,MH-12-D-9597,Tata Nexon,maroon,Pallavi Bail,person,2022-09-29T10:15:00+05:30
VEH-0019,MH-14-P-5172,Bajaj Pulsar 150,silver,Bahadurjit Balay,person,2018-11-04T17:44:00+05:30
VEH-0020,MH-12-A-8181,Maruti Suzuki Ertiga,silver,Ekaja Solanki,person,2020-10-14T12:32:00+05:30
VEH-0021,MH-12-S-8387,Mahindra Bolero Pickup,red,Champak Chatterjee,person,2020-04-05T11:08:00+05:30
VEH-0022,MH-14-UG-3976,TVS Apache RTR 160,red,Siddharth Roy,person,2018-12-28T15:34:00+05:30
VEH-0023,MH-12-V-9289,Mahindra Scorpio,grey,Darika Kothari,person,2023-12-11T10:36:00+05:30
VEH-0024,TS-10-X-7832,Tata Nexon,red,Girish Minhas,person,2018-06-25T14:11:00+05:30
VEH-0025,TS-11-ZL-3737,Ashok Leyland Dost,blue,Barkha Bedi,person,2020-05-20T11:18:00+05:30
VEH-0026,TS-13-T-1108,Honda Activa,red,Waida Thakkar,person,2016-01-21T11:01:00+05:30
VEH-0027,TS-07-V-3619,Mahindra Scorpio,silver,Bahadurjit Keer,person,2016-03-21T17:14:00+05:30
VEH-0028,TS-13-XS-8314,Ashok Leyland Dost,black,Chaitaly Saini,person,2023-08-28T11:29:00+05:30
VEH-0029,TS-13-F-8276,Bajaj Pulsar 150,grey,Kalpit Jayaraman,person,2017-07-05T12:38:00+05:30
VEH-0030,TS-11-TL-4886,Maruti Suzuki Ertiga,maroon,Vasudha Mutti,person,2016-08-15T12:52:00+05:30
VEH-0031,DL-8-CLY-3357,Tata Nexon,silver,Rahul Sharma,person,2015-02-01T16:52:00+05:30
VEH-0032,DL-9-SFB-9739,Ashok Leyland Dost,white,Siddharth Malhotra,person,2016-01-26T16:47:00+05:30
VEH-0033,DL-4-CA-6049,TVS Apache RTR 160,red,Anthony Aggarwal,person,2018-04-25T15:11:00+05:30
VEH-0034,DL-3-CZ-3213,Maruti Suzuki Swift,red,Aarna Choudhury,person,2021-04-15T12:55:00+05:30
VEH-0035,DL-5-SPG-9326,Hero Splendor Plus,white,Mitesh Patla,person,2021-12-05T14:51:00+05:30
VEH-0036,DL-9-CZ-2042,Maruti Suzuki Swift,blue,Tanvi Dubey,person,2022-09-05T17:47:00+05:30
VEH-0037,DL-7-CG-3588,Honda Activa,maroon,Kritika Loke,person,2017-09-24T12:46:00+05:30
VEH-0038,DL-1-CJ-9906,Mahindra Bolero Pickup,grey,Gauri Chokshi,person,2019-08-19T14:20:00+05:30
VEH-0039,KA-05-A-4281,Hyundai Creta,maroon,Orinder Murthy,person,2022-12-02T17:23:00+05:30
VEH-0040,KA-02-EM-1892,Mahindra Bolero Pickup,white,Ikshita Kumar,person,2023-10-02T10:01:00+05:30
VEH-0041,KA-05-W-9961,TVS Apache RTR 160,maroon,Anya Sarin,person,2020-07-21T16:42:00+05:30
VEH-0042,KA-01-UF-5097,Mahindra Bolero Pickup,maroon,Upasna Boase,person,2020-10-18T12:06:00+05:30
VEH-0043,KA-05-SU-9910,Toyota Innova Crysta,blue,Oni Murthy,person,2016-03-28T12:42:00+05:30
VEH-0044,KA-02-R-7921,TVS Apache RTR 160,black,Devansh Handa,person,2016-03-23T12:51:00+05:30
